Survived,SibSp,Parch,Cabin_No,Cabin_Yes,Embarked_C,Embarked_Q,Embarked_S,Sex_female,Sex_male,Pclass_1,Pclass_2,Pclass_3,Age_scaled,Fare_scaled
0,1,0,1,0,0,0,1,1,0,0,0,1,0.7599896072734047,-0.4576454924460446
0,1,0,1,0,0,0,1,1,0,0,1,0,-0.19433294530363815,-0.22559322262067316
0,0,0,1,0,1,0,0,0,1,0,0,1,-0.12479908351711029,-0.4894421904510968
1,1,2,1,0,1,0,0,1,0,0,1,0,-1.956159196215102,0.18876253192945994
1,0,0,1,0,0,1,0,1,0,0,0,1,-0.781608362274126,-0.48977642625839407
0,0,0,1,0,0,0,1,0,1,0,0,1,0.07770233463071136,-0.4863374216869257
0,1,0,1,0,0,1,0,0,1,0,0,1,0.25559235833429905,-0.3363340021468808
1,0,0,1,0,0,1,0,1,0,0,0,1,0.4146587639867299,-0.49237782784290063
0,2,0,1,0,1,0,0,0,1,0,0,1,-0.4542255636316674,-0.21191774308354583
0,1,0,1,0,0,0,1,1,0,0,0,1,-0.855017789395437,-0.29002422161773944
0,4,1,1,0,0,0,1,0,1,0,0,1,-1.662521487729858,0.1506737441786005
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.634789508031504,-0.4913710934835715
1,1,0,0,1,1,0,0,1,0,1,0,0,1.4206744513652036,0.8964967865378598
1,1,0,1,0,0,0,1,1,0,0,1,0,-0.047514091061016166,-0.12491978668775715
0,0,1,0,1,1,0,0,0,1,1,0,0,2.5952252853061797,0.5995101505357573
1,0,0,0,1,0,0,1,0,1,1,0,0,1.0583864751365744,0.06635974158478332
1,0,0,1,0,0,0,1,1,0,0,1,0,-0.634789508031504,-0.43700743807979686
0,0,0,1,0,1,0,0,0,1,0,0,1,-0.08421880462167165,-0.5028639729296732
1,1,2,1,0,0,0,1,1,0,0,1,0,-1.8093403419724798,-0.08968408411123653
0,5,2,1,0,0,0,1,0,1,0,0,1,-1.368883779244614,0.2958951755118318
0,0,0,1,0,1,0,0,0,1,0,0,1,-0.5613800809101931,-0.5028639729296732
1,0,0,0,1,0,0,0,1,0,1,0,0,0.6131707530307827,0.962353321387736
0,1,0,0,1,0,0,1,0,1,1,0,0,1.1270367428799597,1.0323213593611125
0,3,2,1,0,0,0,1,0,1,0,0,1,-1.8827497690937909,-0.08666388103324908
0,0,0,1,0,1,0,0,0,1,1,0,0,0.8480874149117418,-0.09027201697708476
1,1,1,1,0,1,0,0,0,1,0,0,1,-0.921092443692182,-0.3414522396297103
1,0,0,0,1,0,0,1,1,0,0,1,0,-0.047514091061016166,-0.43700743807979686
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.781608362274126,-0.4841568350646187
1,4,2,1,0,0,0,1,1,0,0,0,1,-0.928427216516748,-0.4888542575852486
0,2,0,1,0,0,0,1,0,1,0,0,1,-0.26774237242494914,-0.47400492578514347
0,0,0,1,0,0,0,1,0,1,0,1,0,0.1727141903029168,-0.43700743807979686
0,5,2,1,0,0,0,1,1,0,0,0,1,-1.001836643638059,0.2958951755118318
0,0,0,1,0,0,0,1,0,1,0,1,0,-0.634789508031504,0.8314778546749452
0,1,0,1,0,1,0,0,0,1,0,0,1,-0.26774237242494914,-0.3573908580066095
1,0,0,1,0,0,0,1,0,1,0,0,1,0.1727141903029168,0.48910360681684706
0,0,0,0,1,0,0,1,0,1,0,0,1,-0.3411517995462601,-0.494391296561559
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.12479908351711029,-0.4894421904510968
0,0,0,1,0,0,0,1,0,1,0,0,1,0.07770233463071136,-0.4863374216869257
1,0,2,1,0,0,0,1,0,1,0,1,0,-2.1154576530683467,-0.06451572512800753
1,0,0,1,0,0,0,1,1,0,0,0,1,0.025895336060294823,-0.397241430886295
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.5613800809101931,-0.46720946885967163
1,0,0,1,0,0,0,1,0,1,0,0,1,-0.047514091061016166,-0.45714212526638004
1,0,0,1,0,0,1,0,1,0,0,0,1,-0.46428676201931013,-0.49162277707340374
0,0,0,1,0,0,0,1,0,1,1,0,0,-0.12092351818232715,0.29992211294914856
1,0,0,1,0,0,0,1,1,0,0,1,0,-0.928427216516748,-0.43700743807979686
1,3,0,1,0,0,0,1,1,0,0,0,1,0.24612361742422778,-0.32928686163157667
0,1,3,1,0,0,0,1,0,1,0,0,1,-1.001836643638059,0.04370821849987721
0,0,0,1,0,0,0,1,0,1,0,0,1,0.07770233463071136,-0.4863374216869257
1,3,2,0,1,0,0,1,1,0,1,0,0,-0.4879706537888821,4.647001076532463
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.4145612266675711,-0.4863374216869257
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.047514091061016166,-0.4863374216869257
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.7081989351528151,-0.4902797934380587
0,1,0,0,1,0,0,1,0,1,1,0,0,1.2004461700012707,0.5833178351003071
0,1,2,1,0,0,0,1,0,1,0,0,1,-0.26774237242494914,-0.23415046467497105
0,0,0,1,0,0,0,1,0,1,0,0,1,2.1547687225783134,-0.5024451714361923
0,0,0,1,0,0,0,1,0,1,0,0,1,0.07770233463071136,-0.4863374216869257
0,0,0,0,1,1,0,0,0,1,1,0,0,3.0356818480340455,0.0493298231623713
1,0,1,0,1,1,0,0,0,1,1,0,0,-0.4879706537888821,0.6272778976347743
1,0,1,1,0,0,0,1,1,0,0,1,0,0.31953304454553877,-0.18532384824750675
0,1,0,1,0,0,0,1,0,1,0,1,0,0.31953304454553877,-0.12491978668775715
0,0,0,1,0,0,0,1,1,0,0,0,1,-0.12092351818232715,-0.4894421904510968
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.12479908351711029,-0.4894421904510968
0,0,1,0,1,0,0,1,0,1,1,0,0,-0.634789508031504,0.907737982394129
0,0,0,1,0,0,0,1,0,1,0,0,1,0.24612361742422778,-0.4741720436887921
0,2,0,1,0,0,0,1,0,1,0,0,1,0.5397613259094718,-0.4888542575852486
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.12092351818232715,-0.4894421904510968
1,0,0,1,0,0,0,1,1,0,0,0,1,-0.634789508031504,-0.494391296561559
1,0,0,1,0,0,0,1,0,1,0,0,1,-0.156493743160497,-0.4918744606632361
0,0,0,1,0,0,0,1,0,1,0,0,1,0.6131707530307827,-0.4894421904510968
1,1,0,1,0,0,1,0,1,0,0,0,1,0.2865851251452707,-0.1621689579829361
0,0,0,0,1,0,0,1,0,1,1,0,0,1.2738555971225816,0.39858208016340624
0,1,0,1,0,1,0,0,1,0,0,0,1,-1.1119507843200256,-0.3573908580066095
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.5613800809101931,-0.4863374216869257
0,1,0,1,0,0,0,1,1,0,0,0,1,-0.7081989351528151,-0.4505983519307405
0,0,0,1,0,1,0,0,1,0,0,0,1,-0.928427216516748,-0.3573083057891445
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.634789508031504,-0.4888542575852486
0,0,0,1,0,0,1,0,0,1,0,0,1,2.99897713447339,-0.49237782784290063
0,1,0,1,0,0,0,1,0,1,0,1,0,-0.047514091061016166,-0.22559322262067316
0,0,1,0,1,1,0,0,0,1,1,0,0,-0.4145612266675711,4.335332226633905
0,4,2,1,0,0,0,1,1,0,0,0,1,-2.029568623336413,-0.01870931177853076
0,2,0,1,0,0,0,1,0,1,0,1,0,-0.634789508031504,0.8314778546749452
0,0,0,1,0,0,0,1,0,1,0,0,1,0.07770233463071136,-0.4863374216869257
0,1,0,1,0,1,0,0,0,1,0,1,0,0.2094189038635723,-0.04295550208861426
1,0,0,0,1,0,0,1,1,0,0,1,0,0.2094189038635723,-0.3866707201133388
0,0,1,0,1,0,0,1,0,1,1,0,0,1.7877215869717586,0.907737982394129
1,1,0,1,0,1,0,0,0,1,0,0,1,-1.295474352123303,-0.42207354059350805
0,0,0,1,0,0,1,0,0,1,0,0,1,0.4146587639867299,-0.49237782784290063
1,0,0,1,0,0,0,1,0,1,0,0,1,-0.4145612266675711,-0.5046257580584992
1,1,1,0,1,1,0,0,1,0,0,0,1,-0.2836445439214776,-0.19824427701513722
0,0,0,1,0,0,0,1,0,1,0,0,1,1.1270367428799597,-0.5079822104125026
0,0,0,1,0,1,0,0,0,1,0,0,1,0.24612361742422778,-0.4894421904510968
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.7081989351528151,-0.5064721088735089
0,1,0,1,0,0,0,1,1,0,0,0,1,1.2738555971225816,-0.35646868933346404
1,1,0,1,0,0,0,1,1,0,0,1,0,-0.047514091061016166,-0.12491978668775715
0,0,0,1,0,0,0,1,0,1,0,1,0,-0.3411517995462601,-0.3866707201133388
0,0,0,1,0,1,0,0,0,1,0,1,0,-0.4879706537888821,-0.3454791770670269
1,0,2,0,1,0,0,1,1,0,1,0,0,-0.781608362274126,-0.11921562980779811
0,1,0,0,1,0,0,1,0,1,1,0,0,0.5397613259094718,0.4207302360686478
0,0,0,1,0,0,0,1,0,1,0,0,1,-1.001836643638059,-0.4628462821463391
0,0,0,0,1,1,0,0,0,1,1,0,0,-0.4145612266675711,0.9462455716384695
0,0,2,1,0,1,0,0,1,0,0,0,1,-0.31589192154643,-0.3414522396297103
1,0,0,1,0,0,0,1,1,0,0,0,1,-0.5613800809101931,-0.49237782784290063
1,1,0,1,0,0,0,1,1,0,0,0,1,-0.4145612266675711,-0.32928686163157667
0,0,0,1,0,0,1,0,0,1,0,0,1,-0.781608362274126,-0.5125125150294839
0,0,0,1,0,0,0,1,0,1,0,1,0,-0.855017789395437,-0.41687275089321363
0,1,1,1,0,0,0,1,0,1,0,1,0,-0.781608362274126,0.09152810056801232
1,0,0,1,0,0,0,1,0,1,0,0,1,-0.19433294530363815,-0.49145565916975514
0,2,2,1,0,0,0,1,1,0,0,0,1,-1.5157026334872359,0.04370821849987721
0,0,2,0,1,0,0,1,0,1,0,1,0,0.5030566123488163,-0.12491978668775715
0,0,0,1,0,0,0,1,0,1,0,1,0,0.9068084615160267,-0.3866707201133388
0,0,0,1,0,0,0,1,0,1,0,1,0,1.5674933056078255,-0.39623469652696586
1,1,0,0,1,0,0,1,1,0,1,0,0,-0.5613800809101931,0.6925485130875209
0,0,0,1,0,0,0,1,0,1,0,0,1,1.897835727653725,-0.4863374216869257
0,0,2,1,0,0,0,1,0,1,0,0,1,0.7966943208340602,-0.35646868933346404
0,0,0,1,0,0,0,1,0,1,0,0,1,0.009950524380384193,-0.5011867534870308
0,0,1,1,0,1,0,0,0,1,1,0,0,1.5674933056078255,0.5874293382238074
1,0,0,1,0,0,1,0,1,0,0,0,1,-1.001836643638059,-0.49271407711891657
0,0,0,1,0,0,0,1,0,1,0,0,1,0.025895336060294823,-0.4863374216869257
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.3027290599264966,-0.47400492578514347
0,8,2,1,0,0,0,1,0,1,0,0,1,-1.3784367714061623,0.7519458402879414
0,0,1,1,0,0,0,1,0,1,0,0,1,1.0536273157586487,-0.32425318983493084
1,0,0,1,0,0,0,1,1,0,0,1,0,0.7599896072734047,-0.331300330350235
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.26774237242494914,-0.4918744606632361
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.928427216516748,-0.47400492578514347
0,4,1,1,0,0,0,1,0,1,0,0,1,-2.102978050457724,0.1506737441786005
1,0,2,1,0,0,0,1,0,1,0,0,1,-1.5157026334872359,-0.2351571990343002
1,0,1,0,1,0,0,1,1,0,1,0,0,-0.265401922582407,0.4589861417231558
0,1,4,1,0,0,0,1,1,0,0,0,1,1.1270367428799597,-0.08666388103324908
0,0,0,1,0,0,0,1,0,1,1,0,0,1.4613635052789553,-0.12642988822675086
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.12092351818232715,0.48910360681684706
0,0,0,0,1,0,0,1,0,1,1,0,0,2.3015875768209355,0.026090367211616904
0,4,1,1,0,0,1,0,0,1,0,0,1,-1.8827497690937909,-0.06199888922968463
1,1,1,1,0,0,0,1,1,0,0,0,1,-2.102978050457724,-0.4242561406845337
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.634789508031504,-0.4888542575852486
0,0,0,0,1,1,0,0,0,1,1,0,0,1.9345404412143805,-0.030371322596999754
0,1,1,1,0,0,0,1,0,1,0,0,1,-0.855017789395437,-0.4902797934380587
0,3,1,1,0,0,0,1,0,1,0,0,1,-1.6397978167207696,-0.13565761536436197
0,0,0,0,1,1,0,0,1,0,1,0,0,1.4940838784865147,-0.07030444769415023
0,0,0,1,0,0,0,1,0,1,0,1,0,0.025895336060294823,-0.3866707201133388
0,0,0,1,0,0,0,1,0,1,0,0,1,0.46635189878816075,-0.6484216535389205
0,8,2,1,0,0,0,1,1,0,0,0,1,-1.3784367714061623,0.7519458402879414
0,0,0,1,0,1,0,0,0,1,0,1,0,0.15208177167307113,-0.34539461138084326
0,4,2,1,0,0,0,1,0,1,0,0,1,-1.5157026334872359,-0.016444159470040135
1,2,1,0,1,0,0,1,0,1,0,1,0,-2.102978050457724,0.13683114673782454
1,0,2,1,0,0,0,1,1,0,0,0,1,-1.8827497690937909,-0.20495516825442542
0,0,0,0,1,0,0,1,0,1,1,0,0,1.2187815131140511,0.3583127057902398
1,1,0,1,0,0,1,0,1,0,0,0,1,0.25559235833429905,-0.3363340021468808
1,0,0,1,0,0,0,1,0,1,1,0,0,1.1270367428799597,-0.11384570873513637
0,1,1,1,0,0,1,0,0,1,0,0,1,0.7599896072734047,-0.3363340021468808
0,0,0,1,0,0,0,1,0,1,0,0,1,0.46635189878816075,-0.4894421904510968
1,0,0,1,0,0,0,1,1,0,0,1,0,0.1727141903029168,-0.3866707201133388
0,0,0,1,0,0,0,1,0,1,0,1,0,-0.781608362274126,-0.3866707201133388
1,1,0,1,0,0,0,1,1,0,0,0,1,-0.781608362274126,-0.4902797934380587
1,1,1,0,1,0,0,1,0,1,0,1,0,-1.956159196215102,-0.12491978668775715
1,0,0,0,1,1,0,0,1,0,1,0,0,1.0536273157586487,-0.09027201697708476
1,0,0,0,1,1,0,0,1,0,1,0,0,2.0813592954570024,2.301728820789
0,0,0,1,0,0,1,0,0,1,0,0,1,0.4146587639867299,-0.49237782784290063
0,0,1,1,0,0,0,1,0,1,0,0,1,0.9068084615160267,-0.47920571548543794
1,0,0,1,0,0,1,0,1,0,0,0,1,0.4146587639867299,-0.49237782784290063
0,0,0,1,0,0,0,1,1,0,0,1,0,-0.4145612266675711,-0.3866707201133388
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.12092351818232715,-0.45714212526638004
0,8,2,1,0,0,0,1,0,1,0,0,1,-1.3784367714061623,0.7519458402879414
0,0,0,1,0,0,0,1,0,1,0,0,1,0.31953304454553877,-0.5176307525123133
0,0,0,1,0,1,0,0,0,1,0,0,1,1.1637414564406152,-0.5029485386158568
1,0,0,1,0,0,0,1,0,1,0,0,1,-0.855017789395437,-0.4863374216869257
0,0,1,0,1,0,0,1,1,0,0,0,1,-2.029568623336413,-0.43776248884929375
0,1,0,1,0,0,0,1,0,1,0,0,1,0.1727141903029168,-0.32928686163157667
1,0,0,1,0,1,0,0,0,1,0,0,1,-0.26774237242494914,-0.2701412180209885
1,0,0,1,0,0,1,0,1,0,0,0,1,-1.001836643638059,-0.49237782784290063
1,0,0,0,1,1,0,0,0,1,1,0,0,0.7599896072734047,-0.024246350754841113
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.4145612266675711,-0.5064721088735089
1,0,0,1,0,0,0,1,1,0,0,1,0,0.39294247166684976,-0.22559322262067316
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.5613800809101931,-0.5024451714361923
0,0,0,1,0,0,0,1,0,1,0,1,0,0.025895336060294823,-0.3866707201133388
0,1,0,1,0,0,1,0,0,1,0,0,1,0.10616339498276789,-0.49237782784290063
1,1,0,0,1,1,0,0,1,0,1,0,0,0.09930476318160582,1.6323350375212924
1,0,0,1,0,0,0,1,1,0,0,0,1,-0.19433294530363815,-0.4888542575852486
0,1,0,1,0,0,0,1,0,1,0,1,0,0.9068084615160267,-0.10478509950117394
1,0,0,0,1,1,0,0,1,0,1,0,0,0.1727141903029168,0.8876878608937296
0,0,0,1,0,0,0,1,0,1,0,1,0,0.025895336060294823,-0.43700743807979686
1,0,0,1,0,0,0,1,0,1,0,0,1,-1.001836643638059,-0.4863374216869257
0,0,0,1,0,0,0,1,0,1,0,1,0,-0.19433294530363815,-0.3866707201133388
0,0,0,1,0,0,0,1,0,1,0,0,1,1.5674933056078255,-0.4863374216869257
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.12479908351711029,-0.4894421904510968
1,1,0,0,1,0,0,1,0,1,1,0,0,0.6131707530307827,1.163700193253568
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.5613800809101931,-0.4601623283443675
1,0,0,1,0,0,0,1,0,1,0,1,0,-0.781608362274126,-0.43700743807979686
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.6714942215921595,-0.5024451714361923
0,0,0,1,0,0,0,1,0,1,0,1,0,-0.855017789395437,-0.3866707201133388
0,3,1,1,0,0,0,1,1,0,0,0,1,-1.6397978167207696,-0.13565761536436197
1,1,0,0,1,0,0,1,1,0,1,0,0,0.39294247166684976,1.0323213593611125
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.047514091061016166,-0.4918744606632361
0,0,0,1,0,0,0,1,0,1,0,1,0,2.1547687225783134,-0.3766033765200472
1,4,2,1,0,0,0,1,1,0,0,0,1,-1.8093403419724798,-0.016444159470040135
0,0,0,1,0,0,0,1,0,1,0,1,0,-0.4145612266675711,-0.43700743807979686
0,0,0,1,0,0,0,1,1,0,0,0,1,0.1072612089832795,-0.49640476528021726
0,1,0,1,0,0,0,1,0,1,0,1,0,1.0536273157586487,-0.12491978668775715
1,0,2,1,0,0,0,1,1,0,0,1,0,-1.589112060608547,-0.11988611489111134
0,0,0,1,0,0,0,1,0,1,0,1,0,-0.781608362274126,-0.43700743807979686
0,0,0,1,0,0,0,1,0,1,0,1,0,0.24612361742422778,-0.4012683683236117
0,1,0,1,0,1,0,0,1,0,0,0,1,-0.6494600788173316,-0.3573908580066095
1,1,0,1,0,0,1,0,1,0,0,0,1,0.25559235833429905,-0.3363340021468808
0,0,0,1,0,0,0,1,0,1,0,1,0,-0.047514091061016166,-0.43700743807979686
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.5613800809101931,-0.5049620073345151
0,0,0,1,0,1,0,0,0,1,0,0,1,0.025895336060294823,-0.5029485386158568
0,2,0,0,1,0,1,0,0,1,1,0,0,1.0536273157586487,1.163700193253568
0,0,0,1,0,0,0,1,1,0,0,0,1,-0.3411517995462601,-0.4918744606632361
1,0,2,1,0,0,0,1,1,0,0,1,0,-0.4145612266675711,-0.35646868933346404
1,1,1,0,1,0,0,1,0,1,1,0,0,0.5397613259094718,0.40974072380221066
0,1,0,1,0,0,0,1,0,1,0,1,0,1.7877215869717586,-0.12491978668775715
0,0,0,1,0,0,0,1,0,1,0,0,1,0.009950524380384193,-0.5024451714361923
0,1,1,0,1,0,0,1,1,0,0,0,1,-0.047514091061016166,-0.43776248884929375
0,0,0,0,1,0,0,1,0,1,1,0,0,2.3749970039422466,-0.11384570873513637
0,1,0,1,0,0,0,1,0,1,0,0,1,0.025895336060294823,-0.32425318983493084
0,0,2,1,0,0,0,1,1,0,0,0,1,0.8333990343947157,-0.2414492887801075
1,0,2,1,0,1,0,0,1,0,0,0,1,-0.047514091061016166,-0.3414522396297103
1,0,0,1,0,1,0,0,1,0,1,0,0,0.3650678634827883,0.9462455716384695
1,0,0,0,1,0,0,1,1,0,1,0,0,0.025895336060294823,1.093228788100527
1,0,0,1,0,1,0,0,1,0,1,0,0,0.39294247166684976,9.667166525013505
1,0,1,1,0,0,0,1,1,0,0,1,0,1.4940838784865147,-0.12491978668775715
0,0,0,1,0,0,1,0,0,1,0,0,1,0.4146587639867299,-0.49237782784290063
1,4,2,1,0,0,0,1,0,1,0,0,1,-1.956159196215102,-0.016444159470040135
0,1,1,0,1,0,0,1,0,1,1,0,0,1.6409027327291366,0.955306180872432
0,0,0,0,1,0,0,1,0,1,1,0,0,0.7599896072734047,-0.6484216535389205
0,0,0,1,0,0,1,0,1,0,0,0,1,0.4146587639867299,-0.49237782784290063
0,0,0,1,0,0,0,1,0,1,0,1,0,0.46635189878816075,-0.43700743807979686
0,4,1,1,0,0,0,1,0,1,0,0,1,-1.001836643638059,0.1506737441786005
1,1,0,1,0,0,0,1,0,1,0,0,1,-0.3411517995462601,-0.4918744606632361
1,0,1,0,1,0,0,1,1,0,1,0,0,2.0813592954570024,2.441497778832105
1,0,0,0,1,0,0,1,1,0,1,0,0,0.39294247166684976,2.0825124140450755
0,0,0,1,0,0,0,1,0,1,1,0,0,0.5305776754883299,-0.024246350754841113
1,0,0,1,0,0,0,1,0,1,0,0,1,-0.3411517995462601,-0.6484216535389205
1,0,1,1,0,0,0,1,1,0,0,1,0,0.8333990343947157,-0.255795253400548
0,0,1,0,1,1,0,0,0,1,1,0,0,0.5397613259094718,-0.05042144409739929
1,0,0,1,0,0,1,0,1,0,0,0,1,0.4146587639867299,-0.49237782784290063
1,1,0,0,1,0,0,1,1,0,1,0,0,2.4484064310635576,0.921244330558889
0,0,0,1,0,0,0,1,1,0,0,0,1,1.1270367428799597,-0.49237782784290063
0,0,0,1,0,0,0,1,0,1,0,1,0,0.39674636968978044,-0.6484216535389205
0,4,1,1,0,0,1,0,0,1,0,0,1,-1.662521487729858,-0.06199888922968463
1,1,1,1,0,0,0,1,1,0,0,0,1,0.39294247166684976,-0.24069423801061057
0,0,0,1,0,0,1,0,0,1,0,0,1,2.5952252853061797,-0.49237782784290063
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.12092351818232715,-0.4902797934380587
0,0,0,1,0,0,0,1,0,1,0,0,1,-1.001836643638059,-0.45714212526638004
1,0,0,1,0,0,0,1,0,1,0,0,1,-0.781608362274126,-0.4863374216869257
0,0,0,0,1,0,0,1,0,1,1,0,0,2.062455799924125,-0.12491978668775715
0,0,0,1,0,1,0,0,0,1,0,0,1,0.24612361742422778,-0.47400492578514347
1,0,0,1,0,0,0,1,0,1,0,0,1,0.025895336060294823,-0.45714212526638004
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.5613800809101931,-0.4894421904510968
1,0,0,1,0,0,0,1,0,1,0,1,0,0.9068084615160267,-0.3866707201133388
1,0,0,1,0,0,1,0,1,0,0,0,1,-0.5613800809101931,-0.49237782784290063
1,0,0,1,0,0,0,1,1,0,1,0,0,-0.26774237242494914,0.9391984311231651
1,1,0,0,1,1,0,0,1,0,1,0,0,-0.781608362274126,1.1854295476653287
0,0,0,0,1,1,0,0,0,1,0,1,0,0.46635189878816075,-0.3891875560116617
0,0,0,1,0,0,0,1,1,0,0,0,1,-0.4145612266675711,-0.4702296719376591
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.4145612266675711,-0.4894421904510968
0,0,0,1,0,1,0,0,0,1,1,0,0,0.8480874149117418,-0.09027201697708476
0,0,0,1,0,1,0,0,0,1,0,0,1,-0.4512659402282266,-0.5028639729296732
0,1,2,0,1,0,0,1,1,0,1,0,0,-2.029568623336413,2.4029901895877646
1,0,0,0,1,0,0,1,0,1,1,0,0,0.8756004390300696,-0.034313694348132716
1,0,1,0,1,1,0,0,1,0,1,0,0,1.4940838784865147,4.335332226633905
1,0,0,1,0,0,1,0,1,0,0,0,1,0.4146587639867299,-0.49237782784290063
1,2,0,1,0,0,1,0,0,1,0,0,1,-0.4649433399913791,-0.18029017645086096
0,0,0,1,0,0,0,1,0,1,0,0,1,-0.781608362274126,-0.6484216535389205
1,0,0,0,1,0,1,0,1,0,0,1,0,0.9489833178973145,-0.3997582667846179
0,0,0,1,0,0,0,1,0,1,0,0,1,0.07770233463071136,-0.4863374216869257
1,1,2,0,1,0,0,1,0,1,1,0,0,-2.1088508046274286,2.4029901895877646
