,Survived,SibSp,Parch,Cabin_No,Cabin_Yes,Embarked_C,Embarked_Q,Embarked_S,Sex_female,Sex_male,Pclass_1,Pclass_2,Pclass_3,Age_scaled,Fare_scaled,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Officer,Title_Royalty
36,1,0,0,1,0,1,0,0,0,1,0,0,1,-0.4970508961965139,-0.5028639729296732,0,0,1,0,0,0
37,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.634789508031504,-0.4863374216869257,0,0,1,0,0,0
38,0,2,0,1,0,0,0,1,1,0,0,0,1,-0.8550177893954369,-0.2859972841804228,0,1,0,0,0,0
39,1,1,0,1,0,1,0,0,1,0,0,0,1,-1.1486554978806809,-0.4220735405935081,0,1,0,0,0,0
40,0,1,0,1,0,0,0,1,1,0,0,0,1,0.7599896072734047,-0.4576454924460446,0,0,0,1,0,0
41,0,1,0,1,0,0,0,1,1,0,0,1,0,-0.19433294530363812,-0.2255932226206732,0,0,0,1,0,0
42,0,0,0,1,0,1,0,0,0,1,0,0,1,-0.12479908351711028,-0.4894421904510968,0,0,1,0,0,0
43,1,1,2,1,0,1,0,0,1,0,0,1,0,-1.9561591962151017,0.18876253192945994,0,1,0,0,0,0
44,1,0,0,1,0,0,1,0,1,0,0,0,1,-0.781608362274126,-0.4897764262583941,0,1,0,0,0,0
45,0,0,0,1,0,0,0,1,0,1,0,0,1,0.07770233463071136,-0.4863374216869257,0,0,1,0,0,0
46,0,1,0,1,0,0,1,0,0,1,0,0,1,0.25559235833429905,-0.3363340021468808,0,0,1,0,0,0
47,1,0,0,1,0,0,1,0,1,0,0,0,1,0.4146587639867299,-0.4923778278429006,0,1,0,0,0,0
48,0,2,0,1,0,1,0,0,0,1,0,0,1,-0.4542255636316674,-0.21191774308354586,0,0,1,0,0,0
49,0,1,0,1,0,0,0,1,1,0,0,0,1,-0.8550177893954369,-0.29002422161773944,0,0,0,1,0,0
50,0,4,1,1,0,0,0,1,0,1,0,0,1,-1.6625214877298582,0.1506737441786005,1,0,0,0,0,0
51,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.634789508031504,-0.4913710934835715,0,0,1,0,0,0
52,1,1,0,0,1,1,0,0,1,0,1,0,0,1.4206744513652036,0.8964967865378598,0,0,0,1,0,0
53,1,1,0,1,0,0,0,1,1,0,0,1,0,-0.047514091061016166,-0.12491978668775715,0,0,0,1,0,0
54,0,0,1,0,1,1,0,0,0,1,1,0,0,2.59522528530618,0.5995101505357573,0,0,1,0,0,0
55,1,0,0,0,1,0,0,1,0,1,1,0,0,1.0583864751365744,0.06635974158478332,0,0,1,0,0,0
56,1,0,0,1,0,0,0,1,1,0,0,1,0,-0.634789508031504,-0.4370074380797969,0,1,0,0,0,0
57,0,0,0,1,0,1,0,0,0,1,0,0,1,-0.08421880462167165,-0.5028639729296732,0,0,1,0,0,0
58,1,1,2,1,0,0,0,1,1,0,0,1,0,-1.80934034197248,-0.08968408411123653,0,1,0,0,0,0
59,0,5,2,1,0,0,0,1,0,1,0,0,1,-1.368883779244614,0.2958951755118318,1,0,0,0,0,0
60,0,0,0,1,0,1,0,0,0,1,0,0,1,-0.5613800809101931,-0.5028639729296732,0,0,1,0,0,0
61,1,0,0,0,1,0,0,0,1,0,1,0,0,0.6131707530307827,0.9623533213877359,0,1,0,0,0,0
62,0,1,0,0,1,0,0,1,0,1,1,0,0,1.1270367428799597,1.0323213593611125,0,0,1,0,0,0
63,0,3,2,1,0,0,0,1,0,1,0,0,1,-1.8827497690937909,-0.08666388103324907,1,0,0,0,0,0
64,0,0,0,1,0,1,0,0,0,1,1,0,0,0.8480874149117418,-0.09027201697708476,0,0,1,0,0,0
65,1,1,1,1,0,1,0,0,0,1,0,0,1,-0.921092443692182,-0.3414522396297103,1,0,0,0,0,0
66,1,0,0,0,1,0,0,1,1,0,0,1,0,-0.047514091061016166,-0.4370074380797969,0,0,0,1,0,0
67,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.781608362274126,-0.4841568350646187,0,0,1,0,0,0
68,1,4,2,1,0,0,0,1,1,0,0,0,1,-0.9284272165167479,-0.4888542575852486,0,1,0,0,0,0
69,0,2,0,1,0,0,0,1,0,1,0,0,1,-0.26774237242494914,-0.4740049257851434,0,0,1,0,0,0
70,0,0,0,1,0,0,0,1,0,1,0,1,0,0.1727141903029168,-0.4370074380797969,0,0,1,0,0,0
71,0,5,2,1,0,0,0,1,1,0,0,0,1,-1.001836643638059,0.2958951755118318,0,1,0,0,0,0
72,0,0,0,1,0,0,0,1,0,1,0,1,0,-0.634789508031504,0.8314778546749452,0,0,1,0,0,0
73,0,1,0,1,0,1,0,0,0,1,0,0,1,-0.26774237242494914,-0.3573908580066095,0,0,1,0,0,0
74,1,0,0,1,0,0,0,1,0,1,0,0,1,0.1727141903029168,0.4891036068168471,0,0,1,0,0,0
75,0,0,0,0,1,0,0,1,0,1,0,0,1,-0.3411517995462601,-0.494391296561559,0,0,1,0,0,0
76,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.12479908351711028,-0.4894421904510968,0,0,1,0,0,0
77,0,0,0,1,0,0,0,1,0,1,0,0,1,0.07770233463071136,-0.4863374216869257,0,0,1,0,0,0
78,1,0,2,1,0,0,0,1,0,1,0,1,0,-2.1154576530683467,-0.06451572512800753,1,0,0,0,0,0
79,1,0,0,1,0,0,0,1,1,0,0,0,1,0.025895336060294826,-0.397241430886295,0,1,0,0,0,0
80,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.5613800809101931,-0.4672094688596716,0,0,1,0,0,0
81,1,0,0,1,0,0,0,1,0,1,0,0,1,-0.047514091061016166,-0.45714212526638,0,0,1,0,0,0
82,1,0,0,1,0,0,1,0,1,0,0,0,1,-0.4642867620193101,-0.4916227770734037,0,1,0,0,0,0
83,0,0,0,1,0,0,0,1,0,1,1,0,0,-0.12092351818232715,0.29992211294914856,0,0,1,0,0,0
84,1,0,0,1,0,0,0,1,1,0,0,1,0,-0.9284272165167479,-0.4370074380797969,0,1,0,0,0,0
85,1,3,0,1,0,0,0,1,1,0,0,0,1,0.24612361742422775,-0.3292868616315767,0,0,0,1,0,0
86,0,1,3,1,0,0,0,1,0,1,0,0,1,-1.001836643638059,0.04370821849987721,0,0,1,0,0,0
87,0,0,0,1,0,0,0,1,0,1,0,0,1,0.07770233463071136,-0.4863374216869257,0,0,1,0,0,0
88,1,3,2,0,1,0,0,1,1,0,1,0,0,-0.4879706537888821,4.6470010765324625,0,1,0,0,0,0
89,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.4145612266675711,-0.4863374216869257,0,0,1,0,0,0
90,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.047514091061016166,-0.4863374216869257,0,0,1,0,0,0
91,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.7081989351528151,-0.4902797934380587,0,0,1,0,0,0
92,0,1,0,0,1,0,0,1,0,1,1,0,0,1.2004461700012707,0.5833178351003071,0,0,1,0,0,0
93,0,1,2,1,0,0,0,1,0,1,0,0,1,-0.26774237242494914,-0.23415046467497105,0,0,1,0,0,0
94,0,0,0,1,0,0,0,1,0,1,0,0,1,2.154768722578313,-0.5024451714361923,0,0,1,0,0,0
95,0,0,0,1,0,0,0,1,0,1,0,0,1,0.07770233463071136,-0.4863374216869257,0,0,1,0,0,0
96,0,0,0,0,1,1,0,0,0,1,1,0,0,3.035681848034045,0.0493298231623713,0,0,1,0,0,0
97,1,0,1,0,1,1,0,0,0,1,1,0,0,-0.4879706537888821,0.6272778976347743,0,0,1,0,0,0
98,1,0,1,1,0,0,0,1,1,0,0,1,0,0.3195330445455388,-0.18532384824750675,0,0,0,1,0,0
99,0,1,0,1,0,0,0,1,0,1,0,1,0,0.3195330445455388,-0.12491978668775715,0,0,1,0,0,0
100,0,0,0,1,0,0,0,1,1,0,0,0,1,-0.12092351818232715,-0.4894421904510968,0,1,0,0,0,0
101,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.12479908351711028,-0.4894421904510968,0,0,1,0,0,0
102,0,0,1,0,1,0,0,1,0,1,1,0,0,-0.634789508031504,0.9077379823941291,0,0,1,0,0,0
103,0,0,0,1,0,0,0,1,0,1,0,0,1,0.24612361742422775,-0.4741720436887921,0,0,1,0,0,0
104,0,2,0,1,0,0,0,1,0,1,0,0,1,0.5397613259094718,-0.4888542575852486,0,0,1,0,0,0
105,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.12092351818232715,-0.4894421904510968,0,0,1,0,0,0
106,1,0,0,1,0,0,0,1,1,0,0,0,1,-0.634789508031504,-0.494391296561559,0,1,0,0,0,0
107,1,0,0,1,0,0,0,1,0,1,0,0,1,-0.156493743160497,-0.4918744606632361,0,0,1,0,0,0
108,0,0,0,1,0,0,0,1,0,1,0,0,1,0.6131707530307827,-0.4894421904510968,0,0,1,0,0,0
109,1,1,0,1,0,0,1,0,1,0,0,0,1,0.2865851251452707,-0.1621689579829361,0,1,0,0,0,0
110,0,0,0,0,1,0,0,1,0,1,1,0,0,1.2738555971225816,0.39858208016340624,0,0,1,0,0,0
111,0,1,0,1,0,1,0,0,1,0,0,0,1,-1.1119507843200256,-0.3573908580066095,0,1,0,0,0,0
112,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.5613800809101931,-0.4863374216869257,0,0,1,0,0,0
113,0,1,0,1,0,0,0,1,1,0,0,0,1,-0.7081989351528151,-0.4505983519307405,0,1,0,0,0,0
114,0,0,0,1,0,1,0,0,1,0,0,0,1,-0.9284272165167479,-0.3573083057891445,0,1,0,0,0,0
115,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.634789508031504,-0.4888542575852486,0,0,1,0,0,0
116,0,0,0,1,0,0,1,0,0,1,0,0,1,2.99897713447339,-0.4923778278429006,0,0,1,0,0,0
117,0,1,0,1,0,0,0,1,0,1,0,1,0,-0.047514091061016166,-0.2255932226206732,0,0,1,0,0,0
118,0,0,1,0,1,1,0,0,0,1,1,0,0,-0.4145612266675711,4.335332226633905,0,0,1,0,0,0
119,0,4,2,1,0,0,0,1,1,0,0,0,1,-2.0295686233364134,-0.01870931177853076,0,1,0,0,0,0
120,0,2,0,1,0,0,0,1,0,1,0,1,0,-0.634789508031504,0.8314778546749452,0,0,1,0,0,0
121,0,0,0,1,0,0,0,1,0,1,0,0,1,0.07770233463071136,-0.4863374216869257,0,0,1,0,0,0
122,0,1,0,1,0,1,0,0,0,1,0,1,0,0.2094189038635723,-0.04295550208861426,0,0,1,0,0,0
123,1,0,0,0,1,0,0,1,1,0,0,1,0,0.2094189038635723,-0.3866707201133388,0,1,0,0,0,0
124,0,0,1,0,1,0,0,1,0,1,1,0,0,1.7877215869717586,0.9077379823941291,0,0,1,0,0,0
125,1,1,0,1,0,1,0,0,0,1,0,0,1,-1.295474352123303,-0.4220735405935081,1,0,0,0,0,0
126,0,0,0,1,0,0,1,0,0,1,0,0,1,0.4146587639867299,-0.4923778278429006,0,0,1,0,0,0
127,1,0,0,1,0,0,0,1,0,1,0,0,1,-0.4145612266675711,-0.5046257580584992,0,0,1,0,0,0
128,1,1,1,0,1,1,0,0,1,0,0,0,1,-0.2836445439214776,-0.1982442770151372,0,1,0,0,0,0
129,0,0,0,1,0,0,0,1,0,1,0,0,1,1.1270367428799597,-0.5079822104125026,0,0,1,0,0,0
130,0,0,0,1,0,1,0,0,0,1,0,0,1,0.24612361742422775,-0.4894421904510968,0,0,1,0,0,0
131,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.7081989351528151,-0.5064721088735089,0,0,1,0,0,0
132,0,1,0,1,0,0,0,1,1,0,0,0,1,1.2738555971225816,-0.35646868933346404,0,0,0,1,0,0
133,1,1,0,1,0,0,0,1,1,0,0,1,0,-0.047514091061016166,-0.12491978668775715,0,0,0,1,0,0
134,0,0,0,1,0,0,0,1,0,1,0,1,0,-0.3411517995462601,-0.3866707201133388,0,0,1,0,0,0
135,0,0,0,1,0,1,0,0,0,1,0,1,0,-0.4879706537888821,-0.3454791770670269,0,0,1,0,0,0
136,1,0,2,0,1,0,0,1,1,0,1,0,0,-0.781608362274126,-0.11921562980779812,0,1,0,0,0,0
137,0,1,0,0,1,0,0,1,0,1,1,0,0,0.5397613259094718,0.4207302360686478,0,0,1,0,0,0
138,0,0,0,1,0,0,0,1,0,1,0,0,1,-1.001836643638059,-0.4628462821463391,0,0,1,0,0,0
139,0,0,0,0,1,1,0,0,0,1,1,0,0,-0.4145612266675711,0.9462455716384696,0,0,1,0,0,0
140,0,0,2,1,0,1,0,0,1,0,0,0,1,-0.31589192154643,-0.3414522396297103,0,0,0,1,0,0
141,1,0,0,1,0,0,0,1,1,0,0,0,1,-0.5613800809101931,-0.4923778278429006,0,1,0,0,0,0
142,1,1,0,1,0,0,0,1,1,0,0,0,1,-0.4145612266675711,-0.3292868616315767,0,0,0,1,0,0
143,0,0,0,1,0,0,1,0,0,1,0,0,1,-0.781608362274126,-0.5125125150294839,0,0,1,0,0,0
144,0,0,0,1,0,0,0,1,0,1,0,1,0,-0.8550177893954369,-0.4168727508932136,0,0,1,0,0,0
145,0,1,1,1,0,0,0,1,0,1,0,1,0,-0.781608362274126,0.09152810056801232,0,0,1,0,0,0
146,1,0,0,1,0,0,0,1,0,1,0,0,1,-0.19433294530363812,-0.4914556591697552,0,0,1,0,0,0
147,0,2,2,1,0,0,0,1,1,0,0,0,1,-1.515702633487236,0.04370821849987721,0,1,0,0,0,0
148,0,0,2,0,1,0,0,1,0,1,0,1,0,0.5030566123488163,-0.12491978668775715,0,0,1,0,0,0
149,0,0,0,1,0,0,0,1,0,1,0,1,0,0.9068084615160268,-0.3866707201133388,0,0,0,0,1,0
150,0,0,0,1,0,0,0,1,0,1,0,1,0,1.5674933056078255,-0.39623469652696586,0,0,0,0,1,0
151,1,1,0,0,1,0,0,1,1,0,1,0,0,-0.5613800809101931,0.6925485130875209,0,0,0,1,0,0
152,0,0,0,1,0,0,0,1,0,1,0,0,1,1.8978357276537252,-0.4863374216869257,0,0,1,0,0,0
153,0,0,2,1,0,0,0,1,0,1,0,0,1,0.7966943208340602,-0.35646868933346404,0,0,1,0,0,0
154,0,0,0,1,0,0,0,1,0,1,0,0,1,0.009950524380384192,-0.5011867534870308,0,0,1,0,0,0
155,0,0,1,1,0,1,0,0,0,1,1,0,0,1.5674933056078255,0.5874293382238074,0,0,1,0,0,0
156,1,0,0,1,0,0,1,0,1,0,0,0,1,-1.001836643638059,-0.4927140771189166,0,1,0,0,0,0
157,0,0,0,1,0,0,0,1,0,1,0,0,1,0.025895336060294826,-0.4863374216869257,0,0,1,0,0,0
158,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.3027290599264966,-0.4740049257851434,0,0,1,0,0,0
159,0,8,2,1,0,0,0,1,0,1,0,0,1,-1.3784367714061625,0.7519458402879414,1,0,0,0,0,0
160,0,0,1,1,0,0,0,1,0,1,0,0,1,1.0536273157586489,-0.32425318983493084,0,0,1,0,0,0
161,1,0,0,1,0,0,0,1,1,0,0,1,0,0.7599896072734047,-0.331300330350235,0,0,0,1,0,0
162,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.26774237242494914,-0.4918744606632361,0,0,1,0,0,0
163,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.9284272165167479,-0.4740049257851434,0,0,1,0,0,0
164,0,4,1,1,0,0,0,1,0,1,0,0,1,-2.102978050457724,0.1506737441786005,1,0,0,0,0,0
165,1,0,2,1,0,0,0,1,0,1,0,0,1,-1.515702633487236,-0.2351571990343002,1,0,0,0,0,0
166,1,0,1,0,1,0,0,1,1,0,1,0,0,-0.265401922582407,0.4589861417231558,0,0,0,1,0,0
167,0,1,4,1,0,0,0,1,1,0,0,0,1,1.1270367428799597,-0.08666388103324907,0,0,0,1,0,0
168,0,0,0,1,0,0,0,1,0,1,1,0,0,1.4613635052789553,-0.12642988822675086,0,0,1,0,0,0
169,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.12092351818232715,0.4891036068168471,0,0,1,0,0,0
170,0,0,0,0,1,0,0,1,0,1,1,0,0,2.3015875768209355,0.026090367211616904,0,0,1,0,0,0
171,0,4,1,1,0,0,1,0,0,1,0,0,1,-1.8827497690937909,-0.06199888922968463,1,0,0,0,0,0
172,1,1,1,1,0,0,0,1,1,0,0,0,1,-2.102978050457724,-0.4242561406845337,0,1,0,0,0,0
173,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.634789508031504,-0.4888542575852486,0,0,1,0,0,0
174,0,0,0,0,1,1,0,0,0,1,1,0,0,1.9345404412143803,-0.030371322596999758,0,0,1,0,0,0
175,0,1,1,1,0,0,0,1,0,1,0,0,1,-0.8550177893954369,-0.4902797934380587,0,0,1,0,0,0
176,0,3,1,1,0,0,0,1,0,1,0,0,1,-1.6397978167207696,-0.13565761536436194,1,0,0,0,0,0
177,0,0,0,0,1,1,0,0,1,0,1,0,0,1.4940838784865147,-0.07030444769415023,0,1,0,0,0,0
178,0,0,0,1,0,0,0,1,0,1,0,1,0,0.025895336060294826,-0.3866707201133388,0,0,1,0,0,0
179,0,0,0,1,0,0,0,1,0,1,0,0,1,0.4663518987881608,-0.6484216535389205,0,0,1,0,0,0
180,0,8,2,1,0,0,0,1,1,0,0,0,1,-1.3784367714061625,0.7519458402879414,0,1,0,0,0,0
181,0,0,0,1,0,1,0,0,0,1,0,1,0,0.15208177167307113,-0.3453946113808433,0,0,1,0,0,0
182,0,4,2,1,0,0,0,1,0,1,0,0,1,-1.515702633487236,-0.01644415947004014,1,0,0,0,0,0
183,1,2,1,0,1,0,0,1,0,1,0,1,0,-2.102978050457724,0.13683114673782454,1,0,0,0,0,0
184,1,0,2,1,0,0,0,1,1,0,0,0,1,-1.8827497690937909,-0.20495516825442545,0,1,0,0,0,0
185,0,0,0,0,1,0,0,1,0,1,1,0,0,1.2187815131140511,0.3583127057902398,0,0,1,0,0,0
186,1,1,0,1,0,0,1,0,1,0,0,0,1,0.25559235833429905,-0.3363340021468808,0,0,0,1,0,0
187,1,0,0,1,0,0,0,1,0,1,1,0,0,1.1270367428799597,-0.11384570873513634,0,0,1,0,0,0
188,0,1,1,1,0,0,1,0,0,1,0,0,1,0.7599896072734047,-0.3363340021468808,0,0,1,0,0,0
189,0,0,0,1,0,0,0,1,0,1,0,0,1,0.4663518987881608,-0.4894421904510968,0,0,1,0,0,0
190,1,0,0,1,0,0,0,1,1,0,0,1,0,0.1727141903029168,-0.3866707201133388,0,0,0,1,0,0
191,0,0,0,1,0,0,0,1,0,1,0,1,0,-0.781608362274126,-0.3866707201133388,0,0,1,0,0,0
192,1,1,0,1,0,0,0,1,1,0,0,0,1,-0.781608362274126,-0.4902797934380587,0,1,0,0,0,0
193,1,1,1,0,1,0,0,1,0,1,0,1,0,-1.9561591962151017,-0.12491978668775715,1,0,0,0,0,0
194,1,0,0,0,1,1,0,0,1,0,1,0,0,1.0536273157586489,-0.09027201697708476,0,0,0,1,0,0
195,1,0,0,0,1,1,0,0,1,0,1,0,0,2.0813592954570024,2.301728820789,0,1,0,0,0,0
196,0,0,0,1,0,0,1,0,0,1,0,0,1,0.4146587639867299,-0.4923778278429006,0,0,1,0,0,0
197,0,0,1,1,0,0,0,1,0,1,0,0,1,0.9068084615160268,-0.4792057154854379,0,0,1,0,0,0
198,1,0,0,1,0,0,1,0,1,0,0,0,1,0.4146587639867299,-0.4923778278429006,0,1,0,0,0,0
199,0,0,0,1,0,0,0,1,1,0,0,1,0,-0.4145612266675711,-0.3866707201133388,0,1,0,0,0,0
200,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.12092351818232715,-0.45714212526638,0,0,1,0,0,0
201,0,8,2,1,0,0,0,1,0,1,0,0,1,-1.3784367714061625,0.7519458402879414,0,0,1,0,0,0
202,0,0,0,1,0,0,0,1,0,1,0,0,1,0.3195330445455388,-0.5176307525123133,0,0,1,0,0,0
203,0,0,0,1,0,1,0,0,0,1,0,0,1,1.1637414564406152,-0.5029485386158568,0,0,1,0,0,0
204,1,0,0,1,0,0,0,1,0,1,0,0,1,-0.8550177893954369,-0.4863374216869257,0,0,1,0,0,0
205,0,0,1,0,1,0,0,1,1,0,0,0,1,-2.0295686233364134,-0.43776248884929375,0,1,0,0,0,0
206,0,1,0,1,0,0,0,1,0,1,0,0,1,0.1727141903029168,-0.3292868616315767,0,0,1,0,0,0
207,1,0,0,1,0,1,0,0,0,1,0,0,1,-0.26774237242494914,-0.2701412180209885,0,0,1,0,0,0
208,1,0,0,1,0,0,1,0,1,0,0,0,1,-1.001836643638059,-0.4923778278429006,0,1,0,0,0,0
209,1,0,0,0,1,1,0,0,0,1,1,0,0,0.7599896072734047,-0.024246350754841117,0,0,1,0,0,0
210,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.4145612266675711,-0.5064721088735089,0,0,1,0,0,0
211,1,0,0,1,0,0,0,1,1,0,0,1,0,0.39294247166684976,-0.2255932226206732,0,1,0,0,0,0
212,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.5613800809101931,-0.5024451714361923,0,0,1,0,0,0
213,0,0,0,1,0,0,0,1,0,1,0,1,0,0.025895336060294826,-0.3866707201133388,0,0,1,0,0,0
214,0,1,0,1,0,0,1,0,0,1,0,0,1,0.10616339498276788,-0.4923778278429006,0,0,1,0,0,0
215,1,1,0,0,1,1,0,0,1,0,1,0,0,0.09930476318160583,1.6323350375212924,0,1,0,0,0,0
216,1,0,0,1,0,0,0,1,1,0,0,0,1,-0.19433294530363812,-0.4888542575852486,0,1,0,0,0,0
217,0,1,0,1,0,0,0,1,0,1,0,1,0,0.9068084615160268,-0.10478509950117394,0,0,1,0,0,0
218,1,0,0,0,1,1,0,0,1,0,1,0,0,0.1727141903029168,0.8876878608937296,0,1,0,0,0,0
219,0,0,0,1,0,0,0,1,0,1,0,1,0,0.025895336060294826,-0.4370074380797969,0,0,1,0,0,0
220,1,0,0,1,0,0,0,1,0,1,0,0,1,-1.001836643638059,-0.4863374216869257,0,0,1,0,0,0
221,0,0,0,1,0,0,0,1,0,1,0,1,0,-0.19433294530363812,-0.3866707201133388,0,0,1,0,0,0
222,0,0,0,1,0,0,0,1,0,1,0,0,1,1.5674933056078255,-0.4863374216869257,0,0,1,0,0,0
223,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.12479908351711028,-0.4894421904510968,0,0,1,0,0,0
224,1,1,0,0,1,0,0,1,0,1,1,0,0,0.6131707530307827,1.1637001932535678,0,0,1,0,0,0
225,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.5613800809101931,-0.4601623283443675,0,0,1,0,0,0
226,1,0,0,1,0,0,0,1,0,1,0,1,0,-0.781608362274126,-0.4370074380797969,0,0,1,0,0,0
227,0,0,0,1,0,0,0,1,0,1,0,0,1,-0.6714942215921595,-0.5024451714361923,0,0,1,0,0,0
228,0,0,0,1,0,0,0,1,0,1,0,1,0,-0.8550177893954369,-0.3866707201133388,0,0,1,0,0,0
229,0,3,1,1,0,0,0,1,1,0,0,0,1,-1.6397978167207696,-0.13565761536436194,0,1,0,0,0,0
230,1,1,0,0,1,0,0,1,1,0,1,0,0,0.39294247166684976,1.0323213593611125,0,0,0,1,0,0
